Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
293.0,C7H9N,"2,5 dimethylpyridine","16,3046","3545,14","-63,59",435.0,350.0
294.0,C7H9N,"3,4 dimethylpyridine","16,9517","4237,04","-41,65",460.0,400.0
295.0,C7H9N,"3,5 dimethylpyridine","16,8850","4106,95","-44,45",460.0,400.0
296.0,C7H9N,methylphenylamine,"16,3066","3756,28","-80,71",480.0,320.0
297.0,C7H9N,o-toluidine,"16,7834","4072,58","-72,15",500.0,375.0
298.0,C7H9N,m-toluidine,"16,7498","4080,32","-73,15",500.0,355.0
299.0,C7H9N,p-toluidine,"16,6968","4041,04","-72,15",500.0,350.0
300.0,C7H14,cycloheptane,"15,7818","3066,05","-56,80",435.0,330.0
301.0,C7H14,"1,1-dimethylcyclopentane","15,6973","2807,94","-51,20",390.0,260.0
302.0,C7H14,"cis-2,3-dimethylcyclopentane","15,7729","2922,30","-52,94",400.0,270.0
303.0,C7H14,dimethylcyclopentane,"15,7594","2861,53","-51,46",390.0,260.0
304.0,C7H14,ethylcyclopentane,"15,8581","2990,13","-52,47",402.0,270.0
305.0,C7H14,methylcyclohexane,"15,7105","2926,04","-51,75",400.0,270.0
306.0,C7H14,1-heptene,"15,8894","2895,51","-53,97",400.0,265.0
307.0,C7H14,"1,2,2-trimethyl-1-butane","15,6536","2719,47","-49,56",375.0,243.0
308.0,C7H16,n-heptane,"15,8737","2911,32","-56,51",400.0,270.0
309.0,C7H16,2-methylhexane,"15,8621","2845,06","-53,60",390.0,264.0
310.0,C7H16,3-methylhexane,"15,8133","2855,66","-53,93",390.0,265.0
311.0,C7H16,"2,2 dimethylpentane","15,6917","2740,15","-49,85",378.0,254.0
312.0,C7H16,"2,3 dimethylpentane","15,7815","2850,64","-51,33",388.0,262.0
313.0,C7H16,"2,4 dimethylpentane","15,7179","2744,78","-51,52",378.0,256.0
314.0,C7H16,"3,3 dimethylpentane","15,7190","2829,10","-47,83",385.0,260.0
315.0,C7H16,3-ethylpentane,"15,8317","2882,44","-53,26",392.0,266.0
316.0,C7H16,"2,2,3-trimethylbutane","15,6398","2764,40","-47,10",379.0,254.0
317.0,C7H16O,1-heptanol,"15,3068","2626,42","-146,60",449.0,333.0
318.0,C8H4O3,pathalic anhydride,"15,9984","4467,01","-83,15",615.0,409.0
319.0,C8H8,styrene,"16,0193","3328,57","-63,72",460.0,305.0
320.0,C8H8O,methyl phenyl ketone,"16,2384","3781,07","-81,15",520.0,350.0
321.0,C8H8O2,methyl benzoate,"16,2272","3751,83","-81,15",516.0,350.0
322.0,C8H10,0-xylene,"16,1156","3395,57","-59,46",445.0,305.0
323.0,C8H10,m-xylene,"16,1390","3366,99","-58,04",440.0,300.0
324.0,C8H10,p-xylene,"16,0963","3346,65","-57,84",440.0,300.0
325.0,C8H10,ethylbenzene,"16,0195","3279,47","-59,95",450.0,300.0
326.0,C8H10O,o-ethylphenol,"17,9610","4928,36","-45,75",500.0,350.0
327.0,C8H10O,m-ethylphenol,"17,1955","4272,77","-86,08",500.0,370.0
328.0,C8H10O,p-ethylphenol,"19,0905","5579,62","-44,15",500.0,370.0
329.0,C8H10O,phenetole,"16,1673","3473,20","-78,66",460.0,385.0
330.0,C8H10O,"2,3 xylenol","16,2424","3724,58","-102,44",500.0,420.0
331.0,C8H10O,"2,4 xylenol","16,2456","3655,26","-103,80",500.0,410.0
332.0,C8H10O,"2,5 xylenol","16,2368","3667,32","-102,40",490.0,410.0
333.0,C8H10O,"2,6 xylenol","16,2809","3749,35","-85,55",480.0,400.0
334.0,C8H10O,"3,4 xylenol","16,3004","3733,53","-113,90",520.0,430.0
335.0,C8H10O,"3,5 xylenol","16,4192","3775,81","-109,90",500.0,410.0
336.0,C8H11N,"n,n,dimethylaniline","16,9647","4276,08","-52,80",480.0,345.0
337.0,C8H16,"1,1 dimethylcyclohexano","15,6535","3043,34","-55,30",420.0,283.0
338.0,C8H16,"cis-1,2 dimethylcyclohexane","15,7438","3148,35","-57,31",430.0,290.0
339.0,C8H16,"trans-1,2 dimethylcyclohexane","15,7337","3117,43","-54,02",424.0,286.0
340.0,C8H16,"cis-1,3 dimethylcyclohexane","15,7470","3081,95","-55,08",420.0,284.0
341.0,C8H16,"trans-1,3 dimethylcyclohexane","15,7371","3093,95","-57,76",425.0,288.0
342.0,C8H16,"cis-1,4 dimethylcyclohexane","15,7333","3098,39","-57,00",425.0,287.0
343.0,C8H16,"trans-1,4 dimethylcyclohexane","15,6984","3063,44","-54,57",420.0,283.0
344.0,C8H16,ethylcyclohexane,"15,8125","3183,25","-58,15",433.0,293.0
345.0,C8H16,"1,1,2 -trimethylcyclopentane","15,7084","3015,51","-54,59",414.0,279.0
346.0,C8H16,"1,1,3 -trimethylcyclopentane","15,6794","2938,09","-53,25",404.0,273.0
347.0,C8H16,opentane,"15,7543","3073,95","-54,20",418.0,283.0
